LEA_NAME,STATE,ZIP,OP
Akimel O'Otham Pee Posh Charter School Inc. (78966),ARIZONA,85128,1
Cornerstone Charter SchoolInc (79077),ARIZONA,85021,1
Happy Valley School Inc. (79081),ARIZONA,85204,1
CITY Center for Collaborative Learning (85448),ARIZONA,85701,3
Satori Inc. (85454),ARIZONA,85719,1
Mohave Accelerated Elementary School Inc. (85516),ARIZONA,86442,2
Academy of Building Industries Inc. (85540),ARIZONA,86426,1
Arizona Montessori Charter School at Anthem (85749),ARIZONA,85021,1
StarShine Academy (85807),ARIZONA,85008,0
Arizona Agribusiness & Equine Center Inc. (85816),ARIZONA,85012,1
Gila County Regional School District (87600),ARIZONA,85502,1
Pillar Charter School (87334),ARIZONA,85021,2
Legacy Education Group (87349),ARIZONA,85207,1
Rosefield Charter Elementary School Inc. (87399),ARIZONA,85053,1
East Mesa Charter Elementary School Inc. (87401),ARIZONA,85053,1
Arizona Agribusiness & Equine Center Inc. (87403),ARIZONA,85012,1
Arizona Connections Academy Charter School Inc. (87407),ARIZONA,21202,1
Country Gardens Charter Schools (79074),ARIZONA,85339,1
Portable Practical Educational Preparation Inc. ( (87405),ARIZONA,85004,2
Santa Cruz County Regional School District (85848),ARIZONA,85621,0
Imagine Charter Elementary at Desert West Inc. (88367),ARIZONA,85053,1
Desert Star Community School Inc. (88321),ARIZONA,86325,1
Chandler Preparatory Academy (88299),ARIZONA,85034,1
Imagine Middle at Surprise Inc. (88372),ARIZONA,85379,1
Imagine Middle at East Mesa Inc. (88369),ARIZONA,85053,1
Prescott Valley Charter School (88317),ARIZONA,86312,1
Imagine Charter Elementary at Camelback Inc. (88365),ARIZONA,85053,1
American Charter Schools Foundation d.b.a. South R (88334),ARIZONA,85020,1
Desert Sky Community School Inc. (88308),ARIZONA,85712,1
Agua Fria Union High School District (4289),ARIZONA,85323,5
Pinal County Juvenile Detention (79534),ARIZONA,85132,0
ARIZONA STATE HOSPITAL (6415),ARIZONA,85008,1
Graham County Juvenile Detention (79539),ARIZONA,85546,0
Cochise County Juvenile Detention (79462),ARIZONA,85635,0
Yuma County Juvenile Justice Center (79524),ARIZONA,85364,0
Maricopa County Sheriffs Office (79540),ARIZONA,85003,0
Yavapai County Juvenile Justice Center (79533),ARIZONA,86301,0
Mohave County Juvenile Detention (79589),ARIZONA,86402,0
Ray of Light Academy (79590),ARIZONA,85621,0
Arizona State School for the Deaf and Blind (6393),ARIZONA,85754,12
Aguila Elementary District (4249),ARIZONA,85320,2
Ajo Unified District (4409),ARIZONA,85321,2
Alhambra Elementary District (4280),ARIZONA,85019,15
Eagle Elementary District (4232),ARIZONA,85533,0
BASIS Charter Schools Inc. (81078),ARIZONA,85258,1
Desert Heights Charter Schools (81099),ARIZONA,85306,2
Northeast Arizona Technological Institute of Vocat (81114),ARIZONA,86033,10
Educational Impact Inc. (81123),ARIZONA,85718,2
MCCCD on behalf of Phoenix College Preparatory Aca (81174),ARIZONA,85281,1
West-MEC - Western Maricopa Education Center (80923),ARIZONA,85305,56
New School for the Arts Middle School (80985),ARIZONA,85281,1
American Charter Schools Foundation d.b.a. South P (80989),ARIZONA,85020,1
American Charter Schools Foundation d.b.a. Alta Vi (80995),ARIZONA,85020,1
Pinnacle Education-Tempe Inc. (81001),ARIZONA,85282,2
Pinnacle Education-Kino Inc. (81009),ARIZONA,85282,1
Pinnacle Education-Casa Grande Inc. (81011),ARIZONA,85122,1
Alpine Elementary District (4161),ARIZONA,85920,1
Cochise Community Development Corporation (81027),ARIZONA,85635,1
Canyon Rose Academy Inc. (81029),ARIZONA,85741,2
Blueprint Education (81041),ARIZONA,85306,2
Edkey Inc. - Redwood Academy (81043),ARIZONA,85204,1
Edkey Inc. - Pathfinder Academy (81045),ARIZONA,85204,3
Edkey Inc. - Sequoia School for the Deaf and Hard (81050),ARIZONA,85204,2
Edkey Inc. - Sequoia Ranch School (81052),ARIZONA,85204,1
Heritage Elementary School (81076),ARIZONA,85715,2
Integrity Education Incorporated (5174),ARIZONA,85271,1
Edkey Inc. - Arizona Conservatory for Arts and Ac (79981),ARIZONA,85204,2
Veritas Preparatory Academy (80992),ARIZONA,85034,1
RSD Charter School Inc. (81033),ARIZONA,85029,1
